Эксперимент №;Количество нейронов в первом скрытом слое;Количество нейронов во втором скрытом слое;Размер батча;Размер эмбеддинга;Длина последовательности;Learning rate;Количество эпох обучения;Оптимизатор;Loss;PP;PP на validation
1;256;128;60;200;3;0.1;30;SGD;5.0456;155.3316;260.69439
2;256;128;60;200;3;0.5;30;SGD; 4.5111;91.0216;314.2724
3;256;128;60;200;3;1;30;SGD; 4.2901;72.9701;
4;256;128;60;200;5;1;30;SGD; 4.6244;101.9393;
5;256;128;100;200;3;1;30;SGD; 4.4920;89.2968;
6;256;128;60;300;3;1;30;SGD; 4.3080; 74.2916;376.5338439
7;512;256;60;200;3;1;30;SGD; 3.7318;41.7530;782.397583
8;512;256;60;200;3;1;50;SGD; 3.3839;29.4843;2279.1564941
9;512;256;60;200;3;0.5;50;SGD; 3.2302;25.2835;2466.8012695
10;512;256;60;200;3;0.1;100;SGD; 3.5839;36.0127;
11;512;256;60;200;3;0.3;70;SGD; 3.2850;26.7094;
12;512;256;60;200;3;0.5;130;SGD; 2.4462; 11.5446;
13;512;256;60;200;3;0.3;130;SGD; 2.4478; 11.5628;
14;512;256;60;200;3;0.1;275;SGD; 2.4517; 11.6082;
15;512;256;60;200;3;0.3;250;SGD; 2.0003; 7.3911;104835.953125
16;512;256;60;200;20;0.3;250;SGD; 3.3134;27.4772;9540.4121
17;512;256;60;200;20;0.3;600;SGD; 2.3902; 10.9156;
18;256;128;60;200;20;0.1;100;SGD; 5.2490; 190.3687;292.5188903
19;256;128;60;200;3;0.01;8;Adam; 5.0119; 150.1933; 447.4233
20;256;128;60;200;3;0.0001;30;Adam; 4.4503; 85.6513;266.5169
21;256;128;60;200;3;0.00001;100;Adam; 4.8135; 123.1571;248.2815
22;256;128;60;200;3;0.0003;30;Adam; 3.9568; 52.2895;487.197
23;512;256;60;200;3;0.0001;30;Adam; 4.1071; 60.7725; 405.5409
24;256;128;60;200;3;0.0003;30;Adam; 3.9568; 52.2895;487.197
