Эксперимент №;Количество нейронов в первом скрытом слое;Количество нейронов во втором скрытом слое;Размер батча;Размер эмбеддинга;Длина последовательности;Learning rate;Количество эпох обучения;Оптимизатор;Loss;PP;PP на validation;PP на test
1;256;128;50;150;25;0.0001;110;Adam; 4.211;67.47; 166.98;
2;256;128;50;150;25;0.3;120;NT-ASGD; 4.42; 83.128; 204.5;
3;256;128;50;150;25;1;30;NT-ASGD; 4.1; 59.4; 180.8;
4;256;128;5;150;25;"1; 0.1";10;NT-ASGD; 3.57;35.71;147.88;141.5
5;256;128;30;150;15;"1; 0.1";15;NT-ASGD; 4.156; 63.82; 164.98; 157.78
6;256;128;10;150;5;"1; 0.1";15;NT-ASGD; 4.34; 76.97; 156.97; 146.31
7;256;128;10;150;10;"1; 0.1";10;NT-ASGD; 3.62; 37.34; 150.83; 143.96
8;256;128;5;150;10;"1; 0.1";10;NT-ASGD; 4.85; 127.97; 144.26; 137.12
9;256;128;10;150;5;"1; 0.1";10;NT-ASGD; 4.93; 139.25; 157.97;148
10;256;128;5;150;15;"1; 0.1";10;NT-ASGD; 3.91; 50.08; 142.25; 136.49
11;256;128;5;150;20;"1; 0.1";10;NT-ASGD; 3.59; 36.59; 141.41; 135.71
12;256;128;5;150;25;"1; 0.1";10;NT-ASGD; 3.51;  33.65 ; 146.28;139
13;256;128;10;150;20;"1; 0.1";10;NT-ASGD; 4.793; 120.6; 164.38; 157.15
14;256;128;1;150;20;"1; 0.1";10;NT-ASGD; 4.669; 106.65 ; 134.36; 129.2 
15;256;128;30;150;20;"1; 0.1";30;NT-ASGD; 4.31;74.64;173.89; 165.76
16;512;256;30;150;20;"1; 0.1";20;NT-ASGD; 4.09;60.15;163.16;157.83
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
