Эксперимент №;Количество нейронов в первом скрытом слое;Количество нейронов во втором скрытом слое;Количество нейронов в третьем скрытом слое;Dropout;L2-регуляризация;Gradient clipping;Размер батча;Размер эмбеддинга;Длина последовательности;Learning rate;Количество эпох обучения;Оптимизатор;Loss;PP;PP на valid;PP на test
1;512;256;128;нет;нет;нет;30;150;20;"1; 0.1";20;NT-ASGD; 4.199;  66.66; 184.43; 177.04
2;512;256;128;нет;нет;нет;30;150;20;"1;0.01";30;NT-ASGD; 4.27; 71.63; 171.45; 164.59
3;512;256;128;0.5;нет;нет;30;150;20;"1;0.01";30;NT-ASGD; 4.33; 76.21;171.11; 164.35
4;512;256;128;0.5;нет;нет;30;150;20;"1;0.001";50;NT-ASGD; 4.21; 67.56;170;163
5;512;256;128;0.5;weight_decay=1e-6;нет;30;150;20;"1;0.001";50;NT-ASGD; 4.188; 65.89; 169.16; 162.87
6;512;256;128;0.3;weight_decay=1e-6;нет;30;150;20;"1;0.001";70;NT-ASGD; 4.325;75.57;169.17; 161.49
7;512;256;128;0.5;weight_decay=1e-6;нет;30;150;20;"0.001;0.0001";15;Adam; 4.07;58.75;162.09; 155.93
8;512;256;128;0.1;weight_decay=1e-6;нет;30;150;20;"0.001;0.0001";15;Adam; 3.96;52.6;169.7;162
9;512;256;128;0.5;weight_decay=1e-6;clip_value=1.0;30;150;20;"0.001;0.0001";20;Adam; 3.95;52.23;164.91;158.94
10;512;256;128;0.5;weight_decay=1e-6;clip_value=0.5;30;150;20;"0.001;0.0001";20;Adam; 3.91;50.02;186;177.98
11;512;256;128;0.5;weight_decay=1e-6;clip_value=1.0;30;150;20;"1;0.001";20;NT-ASGD; 4.27;72.13;172.15; 165.34
12;512;256;128;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.001;0.0001";20;Adam; 4.13;62.65;161.84;155.1
13;512;256;128;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.001;0.001";20;Adam-ASGD; 4.33;76.05;151.04;144.66
14;512;512;512;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.001;0.001";20;Adam-ASGD; 3.67;39.46;148.846; 144.56
15;512;512;512;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.001;0.001";70;Adam-ASGD; 3.75; 42.83;150.39;145.58
16;512;512;512;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.0001;0.0001";70;Adam-ASGD;  4.22;68.27;155.54;150.1
17;512;512;512;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.0001;0.001";30;Adam-ASGD; 3.76; 42.84;150.40;145.59
18;512;512;512;0.5;weight_decay=1e-6;clip_value=3.5;30;150;20;"0.001;0.0005";70;Adam-ASGD;  4.06;66.29;149.29;147.37
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
